2016-03-22 16:29:15.736	DEBUG	assigned(_SQuery)
2016-03-22 16:29:16.741	DEBUG	assigned(_SQuery)
2016-03-22 16:29:16.842	DEBUG	send_error | 0
2016-03-22 16:29:17.905	DEBUG	assigned(_SQuery)
2016-03-22 16:29:18.910	DEBUG	assigned(_SQuery)
2016-03-22 16:29:18.921	DEBUG	send_error | 0
2016-03-22 16:29:20.101	DEBUG	assigned(_SQuery)
2016-03-22 16:29:21.104	DEBUG	assigned(_SQuery)
2016-03-22 16:29:22.108	DEBUG	assigned(_SQuery)
2016-03-22 16:29:23.115	DEBUG	assigned(_SQuery)
2016-03-22 16:29:24.120	DEBUG	assigned(_SQuery)
2016-03-22 16:29:24.142	DEBUG	send_error | 0
2016-03-22 16:29:25.289	DEBUG	assigned(_SQuery)
2016-03-22 16:29:26.293	DEBUG	assigned(_SQuery)
2016-03-22 16:29:27.297	DEBUG	assigned(_SQuery)
2016-03-22 16:29:28.302	DEBUG	assigned(_SQuery)
2016-03-22 16:29:28.310	DEBUG	send_error | 0
2016-03-22 16:29:29.363	DEBUG	assigned(_SQuery)
2016-03-22 16:29:30.371	DEBUG	assigned(_SQuery)
2016-03-22 16:29:31.375	DEBUG	assigned(_SQuery)
2016-03-22 16:29:32.378	DEBUG	assigned(_SQuery)
2016-03-22 16:29:32.390	DEBUG	send_error | 0
2016-03-22 16:29:33.470	DEBUG	assigned(_SQuery)
2016-03-22 16:29:34.473	DEBUG	assigned(_SQuery)
2016-03-22 16:29:35.476	DEBUG	assigned(_SQuery)
2016-03-22 16:29:35.484	DEBUG	send_error | 0
2016-03-22 16:29:36.562	DEBUG	assigned(_SQuery)
2016-03-22 16:29:37.568	DEBUG	assigned(_SQuery)
2016-03-22 16:29:38.573	DEBUG	assigned(_SQuery)
2016-03-22 16:29:39.580	DEBUG	assigned(_SQuery)
2016-03-22 16:29:39.588	DEBUG	send_error | 0
2016-03-22 16:29:40.666	DEBUG	assigned(_SQuery)
2016-03-22 16:29:41.670	DEBUG	assigned(_SQuery)
2016-03-22 16:29:42.675	DEBUG	assigned(_SQuery)
2016-03-22 16:29:43.684	DEBUG	assigned(_SQuery)
2016-03-22 16:29:44.688	DEBUG	assigned(_SQuery)
2016-03-22 16:29:44.695	DEBUG	send_error | 0
2016-03-22 16:29:45.878	DEBUG	assigned(_SQuery)
2016-03-22 16:29:46.883	DEBUG	assigned(_SQuery)
2016-03-22 16:29:47.889	DEBUG	assigned(_SQuery)
2016-03-22 16:29:48.893	DEBUG	assigned(_SQuery)
2016-03-22 16:29:48.902	DEBUG	send_error | 0
2016-03-22 16:29:49.960	DEBUG	assigned(_SQuery)
2016-03-22 16:29:50.963	DEBUG	assigned(_SQuery)
2016-03-22 16:29:51.966	DEBUG	assigned(_SQuery)
2016-03-22 16:29:52.978	DEBUG	assigned(_SQuery)
2016-03-22 16:29:52.984	DEBUG	send_error | 0
2016-03-22 16:29:54.044	DEBUG	assigned(_SQuery)
2016-03-22 16:29:55.049	DEBUG	assigned(_SQuery)
2016-03-22 16:29:56.056	DEBUG	assigned(_SQuery)
