2016-03-28 08:15:12.991	INFO	start ArmWeightBlooming1
2016-03-28 08:15:32.033	WARN	заготовка не выбрана	weight -> 0,628
2016-03-28 08:15:39.314	WARN	заготовка не выбрана	weight -> 8,303
2016-03-28 08:15:47.394	DEBUG	send_error | 0
2016-03-28 08:15:47.446	ERROR	SqlReadTableLocal
2016-03-28 08:15:52.962	ERROR	EZSQLException6, с сообщением: SQL Error: OCI_ERROR: ORA-00001: unique constraint (ASUTP.PK_CROP) violated
 | INSERT INTO crop
(id_asutp, weight_bloom, date_weight_bloom)
VALUES (270316100101, 4.803,
TO_DATE('2016-03-28 08:15:49', 'yyyy-mm-dd hh24:mi:ss'))

2016-03-28 08:15:52.977	DEBUG	send_error | 0
2016-03-28 08:15:53.060	ERROR	SqlReadTableLocal
2016-03-28 08:15:57.367	DEBUG	send_error | 0
2016-03-28 08:15:57.436	ERROR	SqlReadTableLocal
2016-03-28 08:16:00.570	DEBUG	send_error | 0
2016-03-28 08:16:00.590	ERROR	SqlReadTableLocal
2016-03-28 08:16:03.756	DEBUG	send_error | 0
2016-03-28 08:16:03.790	ERROR	SqlReadTableLocal
2016-03-28 08:16:06.850	DEBUG	send_error | 0
2016-03-28 08:16:06.931	ERROR	SqlReadTableLocal
2016-03-28 08:16:09.957	DEBUG	send_error | 0
2016-03-28 08:16:09.979	ERROR	SqlReadTableLocal
2016-03-28 08:16:11.997	DEBUG	send_error | 0
2016-03-28 08:16:12.045	ERROR	SqlReadTableLocal
2016-03-28 08:16:15.077	DEBUG	send_error | 0
2016-03-28 08:16:15.095	ERROR	SqlReadTableLocal
2016-03-28 08:16:18.108	DEBUG	send_error | 0
2016-03-28 08:16:18.133	ERROR	SqlReadTableLocal
2016-03-28 08:16:21.156	DEBUG	send_error | 0
2016-03-28 08:16:21.184	ERROR	SqlReadTableLocal
2016-03-28 08:16:24.202	DEBUG	send_error | 0
2016-03-28 08:16:24.228	ERROR	SqlReadTableLocal
2016-03-28 08:16:26.247	DEBUG	send_error | 0
2016-03-28 08:16:26.291	ERROR	SqlReadTableLocal
2016-03-28 08:16:29.313	DEBUG	send_error | 0
2016-03-28 08:16:29.366	ERROR	SqlReadTableLocal
2016-03-28 08:16:32.392	DEBUG	send_error | 0
2016-03-28 08:16:32.412	ERROR	SqlReadTableLocal
2016-03-28 08:16:35.450	DEBUG	send_error | 0
2016-03-28 08:16:35.526	ERROR	SqlReadTableLocal
2016-03-28 08:16:37.550	DEBUG	send_error | 0
2016-03-28 08:16:37.579	ERROR	SqlReadTableLocal
2016-03-28 08:16:40.606	DEBUG	send_error | 0
2016-03-28 08:16:40.624	ERROR	SqlReadTableLocal
2016-03-28 08:16:43.640	DEBUG	send_error | 0
2016-03-28 08:16:43.712	ERROR	SqlReadTableLocal
2016-03-28 08:16:45.726	DEBUG	send_error | 0
2016-03-28 08:16:45.759	ERROR	SqlReadTableLocal
2016-03-28 08:16:48.769	DEBUG	send_error | 0
2016-03-28 08:16:48.796	ERROR	SqlReadTableLocal
2016-03-28 08:16:51.809	DEBUG	send_error | 0
2016-03-28 08:16:51.827	ERROR	SqlReadTableLocal
2016-03-28 08:16:54.853	DEBUG	send_error | 0
2016-03-28 08:16:54.922	ERROR	SqlReadTableLocal
2016-03-28 08:16:57.939	DEBUG	send_error | 0
2016-03-28 08:16:58.266	ERROR	SqlReadTableLocal
2016-03-28 08:17:06.306	DEBUG	send_error | 0
2016-03-28 08:17:06.328	ERROR	SqlReadTableLocal
2016-03-28 08:17:09.352	DEBUG	send_error | 0
2016-03-28 08:17:09.447	ERROR	SqlReadTableLocal
2016-03-28 08:17:11.470	DEBUG	send_error | 0
2016-03-28 08:17:11.500	ERROR	SqlReadTableLocal
